transaction_id,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,Revenue,CustomerID,Country,Year,Month
41,544668,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-02-22 15:14:00,2.95,17.700000000000003,16573.0,United Kingdom,2011,2
42,540397,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2011-01-06 18:57:00,2.55,5.1,13187.0,United Kingdom,2011,1
43,557871,23110,PARISIENNE KEY CABINET ,2,2011-06-23 12:41:00,5.75,11.5,13458.0,United Kingdom,2011,6
44,548899,22381,TOY TIDY PINK POLKADOT,100,2011-04-04 16:31:00,1.85,185.0,15838.0,United Kingdom,2011,4
45,550288,84748,FOLK FELT HANGING MULTICOL GARLAND,3,2011-04-15 14:21:00,3.75,11.25,17367.0,United Kingdom,2011,4
46,562444,21916,SET 12 RETRO WHITE CHALK STICKS,6,2011-08-04 18:44:00,0.42,2.52,14713.0,United Kingdom,2011,8
47,563743,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4,2011-08-19 09:23:00,3.75,15.0,12828.0,United Kingdom,2011,8
48,555746,85114A,BLACK ENCHANTED FOREST PLACEMAT,2,2011-06-07 10:55:00,1.65,3.3,14606.0,United Kingdom,2011,6
49,578935,22992,REVOLVER WOODEN RULER ,2,2011-11-27 12:52:00,1.95,3.9,15351.0,United Kingdom,2011,11
50,560504,22331,WOODLAND PARTY BAG + STICKER SET,8,2011-07-19 11:47:00,1.65,13.2,13081.0,United Kingdom,2011,7
51,580731,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2011-12-05 17:36:00,2.95,2.95,17383.0,United Kingdom,2011,12
52,580092,35970,ZINC FOLKART SLEIGH BELLS,12,2011-12-01 14:38:00,1.69,20.28,13969.0,United Kingdom,2011,12
53,561926,22980,PANTRY SCRUBBING BRUSH,12,2011-08-01 12:48:00,1.65,19.799999999999997,12749.0,United Kingdom,2011,8
54,578270,22138,BAKING SET 9 PIECE RETROSPOT ,6,2011-11-23 13:39:00,10.79,64.74,14096.0,United Kingdom,2011,11
55,563580,21136,PAINTED METAL PEARS ASSORTED,8,2011-08-17 15:53:00,1.69,13.52,16706.0,United Kingdom,2011,8
56,546569,23054,RECYCLED ACAPULCO MAT LAVENDER,2,2011-03-15 10:53:00,8.25,16.5,14016.0,EIRE,2011,3
57,565431,47480,HANGING PHOTO CLIP ROPE LADDER,1,2011-09-04 13:15:00,1.65,1.65,14965.0,United Kingdom,2011,9
58,581467,22754,SMALL RED BABUSHKA NOTEBOOK ,1,2011-12-08 19:24:00,0.21,0.21,13077.0,United Kingdom,2011,12
59,572229,23301,GARDENERS KNEELING PAD KEEP CALM ,12,2011-10-21 14:23:00,1.65,19.799999999999997,14329.0,United Kingdom,2011,10
60,562106,21033,JUMBO BAG CHARLIE AND LOLA TOYS,1,2011-08-02 15:19:00,2.08,2.08,14076.0,United Kingdom,2011,8
61,576339,22676,FRENCH BLUE METAL DOOR SIGN 1,2,2011-11-14 15:27:00,2.46,4.92,14096.0,United Kingdom,2011,11
62,539658,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,6,2010-12-21 09:34:00,2.95,17.700000000000003,17213.0,United Kingdom,2010,12
63,554069,22526,WHEELBARROW FOR CHILDREN ,1,2011-05-22 10:57:00,12.75,12.75,15281.0,United Kingdom,2011,5
64,558570,22208,WOOD STAMP SET THANK YOU,6,2011-06-30 14:38:00,0.83,4.9799999999999995,17673.0,United Kingdom,2011,6
65,575637,85152,HAND OVER THE CHOCOLATE   SIGN ,1,2011-11-10 13:46:00,2.1,2.1,16904.0,United Kingdom,2011,11
66,554827,22356,CHARLOTTE BAG PINK POLKADOT,100,2011-05-26 15:19:00,0.72,72.0,14646.0,Netherlands,2011,5
67,577029,22066,LOVE HEART TRINKET POT,8,2011-11-17 12:59:00,0.39,3.12,15563.0,United Kingdom,2011,11
68,572344,M,Manual,48,2011-10-24 10:43:00,1.5,72.0,14607.0,United Kingdom,2011,10
69,555884,84970S,HANGING HEART ZINC T-LIGHT HOLDER,48,2011-06-07 15:44:00,0.64,30.72,17389.0,United Kingdom,2011,6
70,542397,22554,PLASTERS IN TIN WOODLAND ANIMALS,48,2011-01-27 15:22:00,1.65,79.19999999999999,13328.0,United Kingdom,2011,1
71,573744,23571,TRADITIONAL NAUGHTS & CROSSES,12,2011-11-01 08:16:00,1.65,19.799999999999997,17733.0,United Kingdom,2011,11
72,555124,22865,HAND WARMER OWL DESIGN,2,2011-05-31 15:26:00,2.1,4.2,18204.0,United Kingdom,2011,5
73,544790,22077,6 RIBBONS RUSTIC CHARM,4,2011-02-23 12:27:00,1.65,6.6,16940.0,United Kingdom,2011,2
74,544754,82581,TOILET METAL SIGN,12,2011-02-23 10:58:00,0.55,6.6000000000000005,16394.0,United Kingdom,2011,2
75,536796,22902,TOTE BAG I LOVE LONDON,1,2010-12-02 15:46:00,2.1,2.1,15574.0,United Kingdom,2010,12
76,572023,23240,SET OF 4 KNICK KNACK TINS DOILY ,1,2011-10-20 11:03:00,4.15,4.15,17764.0,United Kingdom,2011,10
77,544802,21716,BOYS VINTAGE TIN SEASIDE BUCKET,8,2011-02-23 13:57:00,2.55,20.4,13149.0,United Kingdom,2011,2
78,557268,23177,TREASURE ISLAND BOOK BOX,2,2011-06-19 11:26:00,2.25,4.5,13097.0,United Kingdom,2011,6
79,543306,20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,1,2011-02-07 11:56:00,1.65,1.65,16686.0,United Kingdom,2011,2
80,544301,22178,VICTORIAN GLASS HANGING T-LIGHT,18,2011-02-17 12:59:00,1.25,22.5,14606.0,United Kingdom,2011,2
81,561084,22468,BABUSHKA LIGHTS STRING OF 10,2,2011-07-25 08:50:00,6.75,13.5,14948.0,United Kingdom,2011,7
82,570827,23241,TREASURE TIN GYMKHANA DESIGN,1,2011-10-12 13:14:00,2.08,2.08,15831.0,United Kingdom,2011,10
83,548714,22424,ENAMEL BREAD BIN CREAM,1,2011-04-03 15:07:00,12.75,12.75,17337.0,United Kingdom,2011,4
84,567675,23322,LARGE WHITE HEART OF WICKER,6,2011-09-21 15:54:00,2.95,17.700000000000003,15351.0,United Kingdom,2011,9
85,544393,22902,TOTE BAG I LOVE LONDON,2,2011-02-18 11:56:00,2.1,4.2,16393.0,United Kingdom,2011,2
86,572475,22099,CARAVAN SQUARE TISSUE BOX,1,2011-10-24 13:37:00,0.39,0.39,15271.0,United Kingdom,2011,10
87,552822,23201,JUMBO BAG ALPHABET,10,2011-05-11 12:59:00,2.08,20.8,15521.0,United Kingdom,2011,5
88,575726,20996,JAZZ HEARTS ADDRESS BOOK,6,2011-11-10 19:12:00,0.19,1.1400000000000001,16791.0,United Kingdom,2011,11
89,573414,22283,6 EGG HOUSE PAINTED WOOD,1,2011-10-30 16:15:00,7.95,7.95,16877.0,United Kingdom,2011,10
90,553515,21165,BEWARE OF THE CAT METAL SIGN ,2,2011-05-17 14:03:00,1.69,3.38,17515.0,United Kingdom,2011,5
91,559991,22424,ENAMEL BREAD BIN CREAM,1,2011-07-14 12:29:00,12.75,12.75,14527.0,United Kingdom,2011,7
92,579145,20768,GREEN FERN JOURNAL ,36,2011-11-28 13:13:00,2.1,75.60000000000001,14597.0,United Kingdom,2011,11
93,565067,16235,RECYCLED PENCIL WITH RABBIT ERASER,20,2011-08-31 17:16:00,0.21,4.2,15856.0,United Kingdom,2011,8
94,549522,22522,CHILDS GARDEN FORK BLUE ,12,2011-04-08 15:34:00,0.85,10.2,16873.0,United Kingdom,2011,4
95,558906,20727,LUNCH BAG  BLACK SKULL.,1,2011-07-04 16:35:00,1.65,1.65,15555.0,United Kingdom,2011,7
96,568901,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2011-09-29 13:22:00,1.69,54.08,15050.0,United Kingdom,2011,9
97,577393,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,48,2011-11-18 17:06:00,3.75,180.0,14031.0,United Kingdom,2011,11
98,573464,23381,PACK OF 12 VINTAGE LEAF TISSUES ,24,2011-10-31 10:56:00,0.39,9.36,15667.0,United Kingdom,2011,10
99,548868,22961,JAM MAKING SET PRINTED,12,2011-04-04 14:28:00,1.45,17.4,13015.0,United Kingdom,2011,4
100,537065,22728,ALARM CLOCK BAKELIKE PINK,4,2010-12-05 11:57:00,3.75,15.0,12567.0,France,2010,12
101,546691,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-03-16 10:45:00,2.55,81.6,15793.0,United Kingdom,2011,3
102,566959,21812,GARLAND WITH HEARTS AND BELLS,2,2011-09-15 17:00:00,4.95,9.9,17530.0,United Kingdom,2011,9
103,568327,22816,CARD MOTORBIKE SANTA,12,2011-09-26 14:02:00,0.42,5.04,15492.0,United Kingdom,2011,9
104,545901,21033,JUMBO BAG CHARLIE AND LOLA TOYS,2,2011-03-07 17:52:00,2.95,5.9,15834.0,United Kingdom,2011,3
105,570650,21818,GLITTER HEART DECORATION,10,2011-10-11 13:13:00,0.39,3.9000000000000004,13263.0,United Kingdom,2011,10
106,577482,23389,SPACEBOY MINI BACKPACK,2,2011-11-20 11:43:00,4.15,8.3,16762.0,United Kingdom,2011,11
107,538901,84378,SET OF 3 HEART COOKIE CUTTERS,12,2010-12-15 09:58:00,1.25,15.0,17629.0,United Kingdom,2010,12
108,568333,85066,CREAM SWEETHEART MINI CHEST,2,2011-09-26 14:48:00,12.75,25.5,15344.0,United Kingdom,2011,9
109,564049,23123,COCKTAIL SWORDS 50 PIECES,50,2011-08-22 13:30:00,0.83,41.5,17585.0,United Kingdom,2011,8
110,568531,23035,DRAWER KNOB CERAMIC IVORY,6,2011-09-27 13:49:00,1.45,8.7,16713.0,United Kingdom,2011,9
111,541798,22494,EMERGENCY FIRST AID TIN ,1,2011-01-21 14:17:00,1.25,1.25,15311.0,United Kingdom,2011,1
112,561037,22423,REGENCY CAKESTAND 3 TIER,2,2011-07-24 11:55:00,12.75,25.5,12472.0,Germany,2011,7
113,539464,22667,RECIPE BOX RETROSPOT ,2,2010-12-19 11:35:00,2.95,5.9,17913.0,United Kingdom,2010,12
114,549557,85099B,JUMBO BAG RED RETROSPOT,4,2011-04-10 12:59:00,2.08,8.32,14450.0,United Kingdom,2011,4
115,546950,84519A,TOMATO CHARLIE+LOLA COASTER SET,2,2011-03-18 11:24:00,1.25,2.5,16511.0,United Kingdom,2011,3
116,559202,21993,FLORAL FOLK STATIONERY SET,12,2011-07-07 10:40:00,1.25,15.0,13583.0,United Kingdom,2011,7
117,548708,22041,"RECORD FRAME 7"" SINGLE SIZE ",5,2011-04-03 12:41:00,2.55,12.75,13269.0,United Kingdom,2011,4
118,541139,22667,RECIPE BOX RETROSPOT ,6,2011-01-14 11:05:00,2.95,17.700000000000003,15213.0,United Kingdom,2011,1
119,573344,21892,TRADITIONAL WOODEN CATCH CUP GAME ,2,2011-10-30 12:07:00,1.25,2.5,14179.0,United Kingdom,2011,10
120,565732,22384,LUNCH BAG PINK POLKADOT,10,2011-09-06 12:10:00,1.65,16.5,17068.0,United Kingdom,2011,9
121,569789,22112,CHOCOLATE HOT WATER BOTTLE,2,2011-10-06 11:41:00,4.95,9.9,16924.0,United Kingdom,2011,10
122,567973,21407,BROWN CHECK CAT DOORSTOP ,3,2011-09-23 10:17:00,4.25,12.75,13994.0,United Kingdom,2011,9
123,562928,22539,MINI JIGSAW DOLLY GIRL,3,2011-08-10 15:29:00,0.42,1.26,15494.0,United Kingdom,2011,8
124,568671,23256,CHILDRENS CUTLERY SPACEBOY ,8,2011-09-28 13:13:00,4.15,33.2,13139.0,United Kingdom,2011,9
125,555549,22384,LUNCH BAG PINK POLKADOT,10,2011-06-05 13:24:00,1.65,16.5,13637.0,United Kingdom,2011,6
126,563189,22859,EASTER TIN BUNNY BOUQUET,6,2011-08-12 15:22:00,1.65,9.899999999999999,12682.0,France,2011,8
127,550280,20725,LUNCH BAG RED RETROSPOT,10,2011-04-15 13:31:00,1.65,16.5,13048.0,United Kingdom,2011,4
128,574883,22195,LARGE HEART MEASURING SPOONS,1,2011-11-07 13:56:00,1.65,1.65,14623.0,United Kingdom,2011,11
129,552692,21754,HOME BUILDING BLOCK WORD,6,2011-05-10 15:19:00,5.95,35.7,13990.0,United Kingdom,2011,5
130,563017,20979,36 PENCILS TUBE RED RETROSPOT,16,2011-08-11 12:48:00,1.25,20.0,13198.0,United Kingdom,2011,8
131,570200,21733,RED HANGING HEART T-LIGHT HOLDER,5,2011-10-07 16:03:00,2.95,14.75,16918.0,United Kingdom,2011,10
132,545043,84836,ZINC METAL HEART DECORATION,12,2011-02-27 11:05:00,1.25,15.0,16407.0,United Kingdom,2011,2
133,563746,22384,LUNCH BAG PINK POLKADOT,10,2011-08-19 10:05:00,1.65,16.5,14745.0,United Kingdom,2011,8
134,574956,23284,DOORMAT KEEP CALM AND COME IN,2,2011-11-08 09:54:00,8.25,16.5,16732.0,United Kingdom,2011,11
135,568228,22077,6 RIBBONS RUSTIC CHARM,24,2011-09-26 11:02:00,1.95,46.8,15358.0,United Kingdom,2011,9
136,556912,22062,CERAMIC BOWL WITH LOVE HEART DESIGN,2,2011-06-15 13:26:00,0.83,1.66,15005.0,United Kingdom,2011,6
137,570680,22725,ALARM CLOCK BAKELIKE CHOCOLATE,3,2011-10-11 15:36:00,3.75,11.25,13969.0,United Kingdom,2011,10
138,576051,23245,SET OF 3 REGENCY CAKE TINS,4,2011-11-13 14:45:00,4.95,19.8,14911.0,EIRE,2011,11
139,552364,22030,SWALLOWS GREETING CARD,12,2011-05-09 12:25:00,0.42,5.04,13004.0,United Kingdom,2011,5
140,581334,22473,TV DINNER TRAY VINTAGE PAISLEY,1,2011-12-08 12:07:00,1.95,1.95,17841.0,United Kingdom,2011,12
141,576857,22095,LADS ONLY TISSUE BOX,1,2011-11-16 15:52:00,0.39,0.39,12748.0,United Kingdom,2011,11
142,565737,22865,HAND WARMER OWL DESIGN,3,2011-09-06 12:27:00,2.1,6.300000000000001,16400.0,United Kingdom,2011,9
143,558888,23198,PANTRY MAGNETIC  SHOPPING LIST,3,2011-07-04 15:29:00,1.45,4.35,14056.0,United Kingdom,2011,7
144,564850,35607B,BLACK FEATHER CHRISTMAS DECORATION,10,2011-08-30 16:43:00,0.19,1.9,17298.0,United Kingdom,2011,8
145,559060,22083,PAPER CHAIN KIT RETROSPOT,24,2011-07-06 10:00:00,2.95,70.80000000000001,15738.0,United Kingdom,2011,7
146,561861,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,24,2011-07-31 10:28:00,9.95,238.79999999999998,16839.0,United Kingdom,2011,7
147,539268,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2010-12-16 15:24:00,4.95,14.850000000000001,13534.0,United Kingdom,2010,12
148,562166,21209,MULTICOLOUR HONEYCOMB FAN,12,2011-08-03 12:10:00,0.39,4.68,13209.0,United Kingdom,2011,8
149,575117,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,2011-11-08 14:22:00,0.85,0.85,12748.0,United Kingdom,2011,11
150,581578,22555,PLASTERS IN TIN STRONGMAN,12,2011-12-09 12:16:00,1.65,19.799999999999997,12713.0,Germany,2011,12
151,577609,23263,SET OF 3 WOODEN HEART DECORATIONS,12,2011-11-21 09:51:00,1.25,15.0,12349.0,Italy,2011,11
152,542777,22132,RED LOVE HEART SHAPE CUP,12,2011-02-01 08:31:00,0.85,10.2,14911.0,EIRE,2011,2
153,574532,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,8,2011-11-04 14:19:00,2.1,16.8,15676.0,United Kingdom,2011,11
154,549129,22136,LOVE HEART SOCK HANGER,2,2011-04-06 14:53:00,1.65,3.3,17042.0,United Kingdom,2011,4
155,545589,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8,2011-03-04 10:21:00,2.95,23.6,17001.0,United Kingdom,2011,3
156,548651,48129,DOORMAT TOPIARY,10,2011-04-01 13:33:00,6.75,67.5,14970.0,United Kingdom,2011,4
157,561106,23076,ICE CREAM SUNDAE LIP GLOSS,24,2011-07-25 11:37:00,1.25,30.0,14246.0,United Kingdom,2011,7
158,541244,21175,GIN + TONIC DIET METAL SIGN,1,2011-01-16 12:35:00,2.1,2.1,15535.0,United Kingdom,2011,1
159,543309,22569,FELTCRAFT CUSHION BUTTERFLY,1,2011-02-07 12:05:00,3.75,3.75,18118.0,United Kingdom,2011,2
160,552817,20727,LUNCH BAG  BLACK SKULL.,10,2011-05-11 12:47:00,1.65,16.5,13136.0,United Kingdom,2011,5
161,566270,84030E,ENGLISH ROSE HOT WATER BOTTLE,4,2011-09-11 13:40:00,4.25,17.0,16523.0,United Kingdom,2011,9
162,566491,22025,RING OF ROSES BIRTHDAY CARD,12,2011-09-13 10:25:00,0.42,5.04,14060.0,United Kingdom,2011,9
163,560876,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,18,2011-07-21 15:14:00,3.25,58.5,12626.0,Germany,2011,7
164,554093,21468,BUTTERFLY CROCHET FOOD COVER,6,2011-05-22 12:49:00,3.75,22.5,14837.0,United Kingdom,2011,5
165,566560,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,4,2011-09-13 12:09:00,1.65,6.6,17092.0,United Kingdom,2011,9
166,550665,22432,WATERING CAN PINK BUNNY,6,2011-04-20 09:31:00,1.95,11.7,12530.0,Germany,2011,4
167,548666,47343A,FUSCHIA FLOWER PURSE WITH BEADS,14,2011-04-01 14:58:00,1.49,20.86,13124.0,United Kingdom,2011,4
168,562540,22314,OFFICE MUG WARMER CHOC+BLUE,1,2011-08-05 15:38:00,2.95,2.95,17400.0,United Kingdom,2011,8
169,553922,84212,"ASSORTED FLOWER COLOUR ""LEIS""",48,2011-05-20 09:24:00,0.65,31.200000000000003,17926.0,United Kingdom,2011,5
170,577938,22493,PAINT YOUR OWN CANVAS SET,8,2011-11-22 12:07:00,1.65,13.2,15525.0,United Kingdom,2011,11
171,543273,47420,ASSORTED COLOUR SUCTION CUP HOOK,1,2011-02-06 11:29:00,0.19,0.19,16456.0,United Kingdom,2011,2
172,577535,21411,GINGHAM HEART  DOORSTOP RED,1,2011-11-20 14:07:00,4.25,4.25,14071.0,United Kingdom,2011,11
173,574657,20719,WOODLAND CHARLOTTE BAG,1,2011-11-06 11:43:00,0.85,0.85,13772.0,United Kingdom,2011,11
174,557442,22714,CARD BIRTHDAY COWBOY,24,2011-06-20 12:53:00,0.42,10.08,14808.0,United Kingdom,2011,6
175,539725,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,2010-12-21 13:58:00,1.25,7.5,17211.0,United Kingdom,2010,12
176,571547,23484,HEART TRELLISTRIPLE T-LIGHT HOLDER,24,2011-10-18 07:43:00,2.49,59.760000000000005,17679.0,United Kingdom,2011,10
177,572103,23500,KEY RING BASEBALL BOOT ASSORTED ,1,2011-10-20 15:57:00,1.25,1.25,17571.0,United Kingdom,2011,10
178,557618,15058A,BLUE POLKADOT GARDEN PARASOL,10,2011-06-21 13:38:00,6.75,67.5,14960.0,United Kingdom,2011,6
179,559307,22659,LUNCH BOX I LOVE LONDON,3,2011-07-07 13:02:00,1.95,5.85,15356.0,United Kingdom,2011,7
180,576339,22083,PAPER CHAIN KIT RETROSPOT,1,2011-11-14 15:27:00,5.79,5.79,14096.0,United Kingdom,2011,11
181,566019,22840,ROUND CAKE TIN VINTAGE RED,1,2011-09-08 12:44:00,7.95,7.95,17243.0,United Kingdom,2011,9
182,581437,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,12,2011-12-08 16:22:00,0.79,9.48,14621.0,United Kingdom,2011,12
183,573380,23082,SET 6 PAPER TABLE LANTERN HEARTS ,1,2011-10-30 14:04:00,3.75,3.75,14572.0,United Kingdom,2011,10
184,566605,23186,FRENCH STYLE STORAGE JAR CAFE ,6,2011-09-13 16:27:00,0.29,1.7399999999999998,13263.0,United Kingdom,2011,9
185,569823,23539,WALL ART LOVES' SECRET ,1,2011-10-06 12:15:00,5.95,5.95,16895.0,United Kingdom,2011,10
186,568185,21328,BALLOONS  WRITING SET ,1,2011-09-25 14:08:00,1.65,1.65,16594.0,United Kingdom,2011,9
187,566726,21817,GLITTER CHRISTMAS TREE,3,2011-09-14 13:12:00,0.85,2.55,15021.0,United Kingdom,2011,9
188,574506,23583,LUNCH BAG PAISLEY PARK  ,1,2011-11-04 13:24:00,1.65,1.65,12577.0,France,2011,11
189,570118,72741,GRAND CHOCOLATECANDLE,9,2011-10-07 12:44:00,1.45,13.049999999999999,13276.0,United Kingdom,2011,10
190,570292,23544,WALL ART MID CENTURY MODERN ,2,2011-10-10 11:59:00,8.25,16.5,13418.0,United Kingdom,2011,10
191,571178,23177,TREASURE ISLAND BOOK BOX,1,2011-10-14 10:38:00,2.25,2.25,14089.0,United Kingdom,2011,10
192,554976,23138,SINGLE WIRE HOOK IVORY HEART,12,2011-05-29 10:57:00,1.45,17.4,15046.0,United Kingdom,2011,5
193,578719,21619,4 VANILLA BOTANICAL CANDLES,1,2011-11-25 11:25:00,1.25,1.25,17348.0,United Kingdom,2011,11
194,546108,22616,PACK OF 12 LONDON TISSUES ,12,2011-03-09 12:35:00,0.29,3.4799999999999995,15529.0,United Kingdom,2011,3
195,537743,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-08 11:02:00,1.25,15.0,17706.0,United Kingdom,2010,12
196,570127,21844,RED RETROSPOT MUG,4,2011-10-07 13:17:00,2.95,11.8,16900.0,United Kingdom,2011,10
197,559017,22689,DOORMAT MERRY CHRISTMAS RED ,1,2011-07-05 13:06:00,7.95,7.95,14034.0,United Kingdom,2011,7
198,574733,23451,SQUARE MINI PORTRAIT FRAME,12,2011-11-06 15:17:00,1.95,23.4,17082.0,United Kingdom,2011,11
199,537238,22444,GROW YOUR OWN PLANT IN A CAN ,24,2010-12-06 10:03:00,1.25,30.0,16161.0,United Kingdom,2010,12
200,551192,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-04-27 10:54:00,12.75,25.5,16188.0,United Kingdom,2011,4
